current_val_loss,dataset,decision_epoch,guard_ci_high,guard_ci_low,guard_predicted_improvement,guard_should_stop,model,realized_future_improvement,regime,run_id,seed,three_point_loss_slope
0.9091410278320312,cifar10,6,25.007531336203847,-3.276119515898069,0.1304559494641344,0,resnet18,0.44110788269042966,class_conditional,development_base__cifar10__resnet18__s11__class_conditional__instrumented,11,-0.03379541473388675
0.6541065155029296,cifar10,10,1.2164293314439054,0.27119556836629877,0.013195979332828567,0,resnet18,0.1860733703613281,class_conditional,development_base__cifar10__resnet18__s11__class_conditional__instrumented,11,-0.07670181045532226
0.6018919540405273,cifar10,13,0.8115270181682509,0.4271257495356227,0.022440855529469506,0,resnet18,0.13385880889892576,class_conditional,development_base__cifar10__resnet18__s11__class_conditional__instrumented,11,-0.03557463150024415
0.6042759887695313,cifar10,6,4.121302793228847,-0.16137421517568643,0.045102999889051976,0,resnet18,0.37493880691528325,clean,development_base__cifar10__resnet18__s11__clean__instrumented,11,-0.05431773986816407
0.4156854690551758,cifar10,10,0.8154819722788116,0.21161801211857761,-0.021288612535428075,0,resnet18,0.18634828720092775,clean,development_base__cifar10__resnet18__s11__clean__instrumented,11,-0.05866367263793948
0.368130029296875,cifar10,13,0.5629725583246645,0.2983445695955301,-0.03592476459415633,0,resnet18,0.13879284744262696,clean,development_base__cifar10__resnet18__s11__clean__instrumented,11,-0.07324657745361329
0.8514291412353515,cifar10,6,73.31941954827751,-3.4376284191567006,0.006819338259287155,0,resnet18,0.36774839477539056,symmetric,development_base__cifar10__resnet18__s11__symmetric__instrumented,11,-0.12356405487060546
0.7656082946777344,cifar10,10,7.41970977742332,-0.7476263845459505,0.0545411045363654,0,resnet18,0.28192754821777344,symmetric,development_base__cifar10__resnet18__s11__symmetric__instrumented,11,-0.024159958648681645
0.6094036209106445,cifar10,13,4.101986921283589,-0.3209405424057299,-0.03342606595422026,0,resnet18,0.12572287445068353,symmetric,development_base__cifar10__resnet18__s11__symmetric__instrumented,11,-0.07423458099365238
0.8907578109741211,cifar10,6,3.205509169503464,-0.021403235961414295,0.09234847659793044,0,resnet18,0.41421353454589843,class_conditional,development_base__cifar10__resnet18__s23__class_conditional__instrumented,23,-0.01962848892211916
0.712858219909668,cifar10,10,0.8811755252955944,0.5223321792524288,0.04419047239602358,0,resnet18,0.23631394348144535,class_conditional,development_base__cifar10__resnet18__s23__class_conditional__instrumented,23,0.013442642211914102
0.6468403686523437,cifar10,13,0.7263591583176096,0.5682316807834009,0.011410387058953697,0,resnet18,0.17029609222412107,class_conditional,development_base__cifar10__resnet18__s23__class_conditional__instrumented,23,0.005615086364746058
0.6204748077392578,cifar10,6,0.6689942167648678,0.5949665474518915,-0.009128300144781387,0,resnet18,0.38841625671386715,clean,development_base__cifar10__resnet18__s23__clean__instrumented,23,-0.06211061859130862
0.419736946105957,cifar10,10,0.5760960221151007,0.4545395496373479,-0.0912072383226522,0,resnet18,0.18767839508056638,clean,development_base__cifar10__resnet18__s23__clean__instrumented,23,-0.04902188491821291
0.48490428314208983,cifar10,13,0.5224255922838154,0.43745419824516335,0.007105993330349336,0,resnet18,0.2528457321166992,clean,development_base__cifar10__resnet18__s23__clean__instrumented,23,-0.00036198577880861005
0.9493100219726562,cifar10,6,108.64304928414867,-5.075859822434565,-4.1711600423433026e-05,0,resnet18,0.465678157043457,symmetric,development_base__cifar10__resnet18__s23__symmetric__instrumented,23,-0.05258720092773439
0.7022622970581055,cifar10,10,0.994998761804219,0.4309600449966826,0.007293995375610818,0,resnet18,0.21863043212890626,symmetric,development_base__cifar10__resnet18__s23__symmetric__instrumented,23,-0.046857839202880835
0.6445800109863281,cifar10,13,0.7937827376759855,0.5486408523661708,-0.0030131761553079395,0,resnet18,0.16094814605712887,symmetric,development_base__cifar10__resnet18__s23__symmetric__instrumented,23,-0.048424140930175774
0.9269426879882813,cifar10,6,2.0232545557681196,0.23065897726128304,0.08338613955462537,0,resnet18,0.46846131744384767,class_conditional,development_base__cifar10__resnet18__s37__class_conditional__instrumented,37,-0.10285258789062496
0.7020476455688477,cifar10,10,0.8671209605163788,0.5512849570860049,0.0046145160989139455,0,resnet18,0.24356627502441408,class_conditional,development_base__cifar10__resnet18__s37__class_conditional__instrumented,37,-0.06986504745483396
0.613816650390625,cifar10,13,0.7411731740606852,0.48350876211121385,0.017180907885494423,0,resnet18,0.15533527984619144,class_conditional,development_base__cifar10__resnet18__s37__class_conditional__instrumented,37,0.003805487823486331
0.7056892669677735,cifar10,6,4.7423638932996415,-0.4232472517172331,0.14616011225366243,0,resnet18,0.45848296508789066,clean,development_base__cifar10__resnet18__s37__clean__instrumented,37,-0.059006787109375014
0.44907923812866213,cifar10,10,0.6629301323000943,0.2508325066018987,0.015482082074963377,0,resnet18,0.2018729362487793,clean,development_base__cifar10__resnet18__s37__clean__instrumented,37,-0.03581107063293454
